round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,600,93846,156.41,17.0,0,0,0.0
1,600,97870,163.11666666666667,15.5,0,0,0.0
2,600,96821,161.36833333333334,18.5,0,0,0.0
3,600,92771,154.61833333333334,17.5,0,0,0.0
4,600,94169,156.94833333333332,25.5,0,0,0.0
5,600,87432,145.72,19.5,0,0,0.0
6,600,95555,159.25833333333333,18.0,0,0,0.0
7,600,95087,158.47833333333332,17.0,0,0,0.0
8,600,93523,155.87166666666667,11.0,0,0,0.0
9,600,94481,157.46833333333333,12.5,0,0,0.0
10,600,78087,130.145,297.5,0,0,0.0
