round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,500,80270,160.54,-12.0,6,6,0.012
1,500,82403,164.806,-11.0,13,9,0.026
2,500,82978,165.956,-8.5,3,3,0.006
3,500,75096,150.192,-7.5,11,8,0.022
4,500,72981,145.962,-8.5,10,8,0.02
5,500,66596,133.192,-7.0,25,20,0.05
6,500,78177,156.354,-24.0,7,6,0.014
7,500,77814,155.628,-11.5,4,3,0.008
8,500,80137,160.274,-9.5,5,17,0.01
9,500,84231,168.462,-13.5,2,18,0.004
10,500,87047,174.094,-251.0,1,5,0.002
11,500,83385,166.77,-16.5,1,4,0.002
12,500,88052,176.104,-24.0,1,10,0.002
13,500,81703,163.406,-23.5,2,22,0.004
14,500,81868,163.736,-23.5,0,30,0.0
15,500,73547,147.094,-17.5,0,38,0.0
