round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,80,21111,263.8875,4.0,0,17,0.0
1,80,17945,224.3125,5.0,2,17,0.025
2,80,16705,208.8125,3.5,0,13,0.0
3,80,16891,211.1375,4.5,1,11,0.0125
4,80,17714,221.425,4.5,0,16,0.0
5,80,15925,199.0625,3.5,0,14,0.0
6,80,18831,235.3875,4.5,0,13,0.0
7,80,16772,209.65,5.0,0,9,0.0
8,80,15097,188.7125,3.5,0,19,0.0
9,80,13534,169.175,4.0,0,17,0.0
10,80,13757,171.9625,4.0,0,19,0.0
11,80,12479,155.9875,4.0,0,16,0.0
12,80,10957,136.9625,3.5,0,19,0.0
13,80,12052,150.65,4.5,0,9,0.0
14,80,14274,178.425,16.5,0,12,0.0
15,80,11586,144.825,10.5,0,9,0.0
16,80,7460,93.25,18.5,0,18,0.0
17,80,11571,144.6375,28.5,0,14,0.0
18,80,12824,160.3,24.0,0,18,0.0
19,80,12209,152.6125,17.5,0,9,0.0
20,80,11593,144.9125,3.5,0,12,0.0
21,80,10661,133.2625,4.5,0,14,0.0
22,80,12993,162.4125,3.5,0,17,0.0
23,80,13107,163.8375,4.5,0,16,0.0
24,80,10046,125.575,4.0,0,14,0.0
25,80,11318,141.475,16.0,0,16,0.0
26,80,12376,154.7,18.5,0,14,0.0
27,80,6374,79.675,27.0,0,25,0.0
28,80,11537,144.2125,23.0,0,9,0.0
29,80,6924,86.55,3.5,0,19,0.0
30,80,9997,124.9625,3.5,0,17,0.0
31,80,12777,159.7125,12.0,0,9,0.0
32,80,10038,125.475,28.5,0,17,0.0
33,80,11204,140.05,4.0,0,11,0.0
34,80,8670,108.375,3.5,0,17,0.0
35,80,7471,93.3875,3.5,0,14,0.0
36,80,11103,138.7875,3.5,0,11,0.0
37,80,16023,200.2875,17.0,0,14,0.0
38,80,13636,170.45,5.0,0,17,0.0
39,80,11000,137.5,4.0,0,7,0.0
40,80,10151,126.8875,5.0,0,9,0.0
41,80,9250,115.625,4.5,0,15,0.0
42,80,5743,71.7875,4.0,0,14,0.0
43,80,5956,74.45,3.0,0,15,0.0
44,80,5719,71.4875,6.0,0,15,0.0
45,80,7131,89.1375,4.5,0,14,0.0
46,80,6076,75.95,26.5,0,22,0.0
47,80,4217,52.7125,25.0,0,13,0.0
48,80,13128,164.1,45.0,0,10,0.0
49,80,11192,139.9,3.0,0,10,0.0
50,80,11539,144.2375,4.5,0,9,0.0
51,80,10282,128.525,3.5,0,15,0.0
52,80,9814,122.675,4.0,0,9,0.0
53,80,9383,117.2875,3.5,0,9,0.0
54,80,10340,129.25,4.0,0,11,0.0
55,80,10209,127.6125,3.0,0,13,0.0
56,80,9935,124.1875,17.0,0,15,0.0
57,80,8662,108.275,5.5,0,10,0.0
