round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,80,13237,165.4625,-0.5,2,1,0.025
1,80,13629,170.3625,-1.5,0,0,0.0
2,80,12020,150.25,-1.0,2,0,0.025
3,80,13411,167.6375,0,0,1,0.0
4,80,12316,153.95,-1.5,0,2,0.0
5,80,11479,143.4875,-0.5,2,12,0.025
6,80,14225,177.8125,-13.0,0,0,0.0
7,80,13234,165.425,0,0,2,0.0
8,80,12836,160.45,0,0,1,0.0
9,80,13546,169.325,0,0,2,0.0
10,80,15214,190.175,-0.5,1,2,0.0125
11,80,14364,179.55,-1.0,1,0,0.0125
12,80,13873,173.4125,0.5,2,1,0.025
13,80,15299,191.2375,0,0,1,0.0
14,80,17060,213.25,-1.5,0,0,0.0
15,80,15668,195.85,0,0,2,0.0
16,80,16239,202.9875,-1.5,0,2,0.0
17,80,16423,205.2875,0,0,5,0.0
18,80,18474,230.925,-0.5,0,0,0.0
19,80,17572,219.65,-3.0,0,5,0.0
20,80,18082,226.025,-3.0,0,6,0.0
21,80,18210,227.625,-4.5,0,3,0.0
22,80,17598,219.975,-7.0,0,4,0.0
23,80,17048,213.1,-6.0,0,5,0.0
24,80,16083,201.0375,-4.5,0,1,0.0
25,80,15777,197.2125,-5.0,0,1,0.0
26,80,17756,221.95,-4.5,0,4,0.0
27,80,16096,201.2,-5.0,0,6,0.0
28,80,17601,220.0125,-3.5,0,1,0.0
29,80,16622,207.775,-4.0,0,4,0.0
30,80,16914,211.425,-5.5,0,2,0.0
31,80,16162,202.025,-6.5,0,4,0.0
32,80,16513,206.4125,-10.0,0,1,0.0
33,80,17643,220.5375,-5.5,0,3,0.0
