round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,80,20283,253.5375,3.0,0,11,0.0
1,80,17949,224.3625,3.0,1,11,0.0125
2,80,18163,227.0375,3.5,0,9,0.0
3,80,16836,210.45,2.5,1,14,0.0125
4,80,16231,202.8875,3.0,2,7,0.025
5,80,19806,247.575,3.5,1,10,0.0125
6,80,17750,221.875,3.0,2,12,0.025
7,80,17130,214.125,3.0,4,8,0.05
8,80,17308,216.35,27.0,1,9,0.0125
9,80,19745,246.8125,2.5,1,9,0.0125
10,80,19972,249.65,5.0,0,8,0.0
11,80,22378,279.725,3.5,0,4,0.0
12,80,20991,262.3875,3.5,0,6,0.0
13,80,19524,244.05,4.0,0,3,0.0
14,80,16184,202.3,3.5,1,4,0.0125
15,80,15534,194.175,3.5,0,2,0.0
16,80,14203,177.5375,9.0,4,1,0.05
17,80,14457,180.7125,6.0,4,1,0.05
18,80,13346,166.825,8.0,9,0,0.1125
19,80,13098,163.725,14.0,3,1,0.0375
20,80,9272,115.9,13.5,15,0,0.1875
21,80,9233,115.4125,7.0,14,0,0.175
22,80,8138,101.725,16.0,22,1,0.275
23,80,8783,109.7875,48.0,16,0,0.2
24,80,9880,123.5,49.5,19,0,0.2375
25,80,6738,84.225,47.5,15,0,0.1875
26,80,7350,91.875,46.5,13,0,0.1625
27,80,8320,104.0,47.0,14,0,0.175
28,80,6612,82.65,51.0,22,0,0.275
29,80,5833,72.9125,49.5,19,0,0.2375
30,80,6755,84.4375,50.0,20,0,0.25
