round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,21,3730,177.61904761904762,1.5,0,0,0.0
1,21,3800,180.95238095238096,1.5,0,1,0.0
2,21,3035,144.52380952380952,1.5,0,0,0.0
3,21,3919,186.61904761904762,2.5,0,1,0.0
4,21,3259,155.1904761904762,1.5,0,0,0.0
5,21,2819,134.23809523809524,1.5,0,0,0.0
6,21,3786,180.28571428571428,1.5,0,0,0.0
7,21,3194,152.0952380952381,1.0,0,0,0.0
8,21,3394,161.61904761904762,1.0,0,0,0.0
9,21,3010,143.33333333333334,1.0,0,0,0.0
10,21,3608,171.8095238095238,1.5,0,1,0.0
11,21,3262,155.33333333333334,1.0,0,0,0.0
12,21,3999,190.42857142857142,2.0,0,0,0.0
13,21,3440,163.8095238095238,1.5,0,0,0.0
14,21,2973,141.57142857142858,2.5,2,0,0.09523809523809523
15,21,1133,53.95238095238095,16.0,16,0,0.7619047619047619
16,21,2656,126.47619047619048,2.0,6,0,0.2857142857142857
