round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,1000,149912,149.912,-19.5,0,0,0.0
1,1000,144087,144.087,-21.5,0,0,0.0
2,1000,139688,139.688,-21.5,0,0,0.0
3,1000,144862,144.862,-22.0,0,0,0.0
4,1000,141605,141.605,-18.0,0,0,0.0
5,1000,137471,137.471,-27.5,0,0,0.0
6,1000,139146,139.146,-22.0,0,0,0.0
7,1000,139143,139.143,-16.5,0,0,0.0
8,1000,144541,144.541,-16.0,0,0,0.0
9,1000,141782,141.782,-15.0,0,0,0.0
10,1000,140525,140.525,-13.5,0,0,0.0
11,1000,136811,136.811,-17.0,0,0,0.0
12,1000,138835,138.835,-21.5,0,0,0.0
13,1000,138826,138.826,-19.5,0,0,0.0
14,1000,143083,143.083,-25.0,0,0,0.0
15,1000,145866,145.866,-23.0,0,0,0.0
16,1000,142293,142.293,-23.0,0,0,0.0
17,1000,151945,151.945,-14.0,0,0,0.0
