round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,315,114480,363.42857142857144,4.0,23,19,0.07301587301587302
1,333,113599,341.1381381381381,3.0,33,30,0.0990990990990991
2,280,96282,343.8642857142857,0.0,25,25,0.08928571428571429
3,274,94728,345.7226277372263,5.0,24,19,0.08759124087591241
4,345,117303,340.0086956521739,18.0,33,15,0.09565217391304348
5,347,114902,331.12968299711815,0,25,29,0.07204610951008646
