round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,182,63413,348.4230769230769,8.5,0,0,0.0
1,183,62708,342.6666666666667,5.5,0,0,0.0
2,181,60546,334.50828729281767,7.0,0,0,0.0
3,176,61100,347.15909090909093,7.0,0,0,0.0
4,178,61271,344.2191011235955,6.0,0,0,0.0
5,178,60871,341.9719101123595,5.5,0,0,0.0
6,182,60108,330.2637362637363,6.0,0,0,0.0
7,178,57338,322.12359550561797,6.0,0,0,0.0
8,191,59202,309.9581151832461,4.0,0,0,0.0
9,195,58765,301.35897435897436,4.5,0,0,0.0
10,189,59025,312.3015873015873,6.5,0,0,0.0
11,208,59086,284.0673076923077,7.0,0,0,0.0
12,209,60351,288.7607655502392,26.5,0,0,0.0
13,221,60327,272.97285067873304,12.5,0,0,0.0
14,227,60429,266.20704845814976,10.5,0,0,0.0
15,219,58183,265.675799086758,9.5,0,0,0.0
16,234,58835,251.43162393162393,15.5,0,0,0.0
17,234,58305,249.16666666666666,8.5,0,0,0.0
18,240,56487,235.3625,8.0,0,0,0.0
19,260,58384,224.55384615384617,12.5,0,0,0.0
20,251,60389,240.59362549800798,12.0,0,0,0.0
21,244,57685,236.4139344262295,16.0,0,0,0.0
22,243,57276,235.7037037037037,9.0,0,0,0.0
23,251,58983,234.99203187250995,10.0,0,0,0.0
24,234,57096,244.0,55.5,0,0,0.0
25,259,55180,213.05019305019306,8.0,0,0,0.0
26,275,55417,201.51636363636365,10.5,0,0,0.0
27,266,55240,207.66917293233084,8.5,0,0,0.0
28,224,54965,245.37946428571428,8.0,0,0,0.0
29,272,55610,204.4485294117647,22.5,0,0,0.0
30,271,57780,213.21033210332104,41.0,0,0,0.0
31,288,57256,198.80555555555554,24.5,0,0,0.0
32,251,56903,226.70517928286853,25.5,0,0,0.0
33,286,55083,192.5979020979021,27.0,0,0,0.0
34,281,57275,203.82562277580072,36.5,0,0,0.0
35,267,51601,193.2621722846442,39.0,0,0,0.0
36,292,55467,189.9554794520548,28.0,0,0,0.0
37,263,54471,207.11406844106463,43.0,0,0,0.0
38,265,55427,209.15849056603773,31.5,0,0,0.0
39,258,53519,207.43798449612405,42.0,0,0,0.0
40,284,54444,191.70422535211267,41.5,0,0,0.0
41,276,54875,198.82246376811594,27.0,0,0,0.0
42,278,52680,189.49640287769785,49.5,0,0,0.0
43,320,59478,185.86875,64.0,0,0,0.0
44,313,57170,182.6517571884984,44.5,0,0,0.0
45,265,52061,196.4566037735849,35.5,0,0,0.0
46,267,51055,191.21722846441946,23.5,0,0,0.0
47,270,53014,196.34814814814814,19.5,0,0,0.0
48,255,53383,209.34509803921569,38.0,0,0,0.0
49,259,50665,195.6177606177606,20.0,0,0,0.0
50,247,52735,213.50202429149797,12.5,0,0,0.0
51,192,36804,191.6875,12.0,0,0,0.0
