round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,185,64332,347.74054054054056,72.0,13,18,0.07027027027027027
1,189,64421,340.85185185185185,80.0,19,16,0.10052910052910052
2,175,62944,359.68,77.0,9,10,0.05142857142857143
3,177,62589,353.6101694915254,78.0,15,12,0.0847457627118644
4,172,62807,365.15697674418607,81.0,14,8,0.08139534883720931
5,183,64774,353.95628415300547,82.0,14,11,0.07650273224043716
6,180,62882,349.34444444444443,73.0,14,16,0.07777777777777778
7,180,60891,338.28333333333336,76.5,15,14,0.08333333333333333
8,134,46995,350.7089552238806,55.5,10,11,0.07462686567164178
9,184,63194,343.44565217391306,77.0,18,16,0.09782608695652174
10,179,63906,357.01675977653633,75.0,10,13,0.055865921787709494
11,180,62997,349.98333333333335,65.5,8,19,0.044444444444444446
12,188,63963,340.22872340425533,77.0,14,16,0.07446808510638298
13,188,64025,340.5585106382979,72.0,13,19,0.06914893617021277
14,196,65763,335.5255102040816,90.5,18,11,0.09183673469387756
15,183,63483,346.9016393442623,83.5,11,9,0.060109289617486336
16,187,60364,322.80213903743316,83.5,25,15,0.13368983957219252
