round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,1000,162699,162.699,-23.0,0,0,0.0
1,1000,153696,153.696,-23.5,0,0,0.0
2,1000,155594,155.594,-24.5,0,0,0.0
3,1000,155555,155.555,-24.5,0,0,0.0
4,1000,153595,153.595,-19.0,0,0,0.0
5,1000,153748,153.748,-16.5,0,0,0.0
6,1000,155719,155.719,-15.5,0,0,0.0
7,1000,153535,153.535,-14.0,0,0,0.0
8,1000,163427,163.427,-15.5,0,0,0.0
9,1000,164003,164.003,-15.5,0,0,0.0
10,1000,161055,161.055,-14.5,0,0,0.0
11,1000,160246,160.246,-12.5,0,0,0.0
12,1000,163901,163.901,-11.5,0,0,0.0
13,1000,159586,159.586,-12.5,0,0,0.0
14,1000,160145,160.145,-12.0,0,0,0.0
15,1000,152999,152.999,-13.5,0,0,0.0
16,1000,138851,138.851,-8.0,0,0,0.0
17,1000,144956,144.956,-9.0,0,0,0.0
