round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,80,13385,167.3125,-1.0,2,1,0.025
1,80,12206,152.575,-2.0,0,4,0.0
2,80,11891,148.6375,-1.5,0,4,0.0
3,80,12489,156.1125,-1.0,2,0,0.025
4,80,11649,145.6125,0,0,0,0.0
5,80,11637,145.4625,0,1,0,0.0125
6,80,11118,138.975,0,0,4,0.0
7,80,10971,137.1375,-10.0,0,0,0.0
8,80,11580,144.75,-13.0,0,0,0.0
9,80,12955,161.9375,-17.5,0,1,0.0
10,80,12496,156.2,-17.5,0,0,0.0
11,80,12733,159.1625,-3.5,0,5,0.0
12,80,15225,190.3125,-1.5,0,3,0.0
13,80,15419,192.7375,-2.5,0,1,0.0
14,80,13782,172.275,-2.5,0,4,0.0
15,80,15582,194.775,-5.0,0,2,0.0
16,80,14728,184.1,-4.0,0,2,0.0
17,80,15311,191.3875,-5.0,0,3,0.0
18,80,15749,196.8625,-4.5,0,1,0.0
19,80,16010,200.125,-5.0,0,1,0.0
20,80,16326,204.075,-7.0,0,4,0.0
21,80,16828,210.35,-13.5,0,3,0.0
22,80,15664,195.8,-6.5,0,2,0.0
23,80,16917,211.4625,-8.0,0,2,0.0
24,80,15083,188.5375,-7.0,0,4,0.0
25,80,16377,204.7125,-8.0,0,2,0.0
26,80,16617,207.7125,-6.5,0,4,0.0
27,80,16181,202.2625,-8.0,0,4,0.0
28,80,14776,184.7,-5.5,0,3,0.0
29,80,15725,196.5625,-7.0,0,4,0.0
30,80,14744,184.3,-10.0,0,7,0.0
31,80,15643,195.5375,-6.5,0,3,0.0
