round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,1000,153170,153.17,-22.0,0,0,0.0
1,1000,157471,157.471,-21.5,0,0,0.0
2,1000,153258,153.258,-24.0,0,0,0.0
3,1000,158448,158.448,-23.0,0,0,0.0
4,1000,162482,162.482,-17.5,0,0,0.0
5,1000,159072,159.072,-17.5,0,0,0.0
6,1000,167237,167.237,-19.0,0,0,0.0
7,1000,170790,170.79,-29.5,0,0,0.0
8,1000,173757,173.757,-14.0,0,0,0.0
9,1000,174027,174.027,-20.0,0,0,0.0
10,1000,175027,175.027,-18.0,0,0,0.0
11,1000,171763,171.763,-30.5,0,0,0.0
12,1000,187462,187.462,-15.5,0,0,0.0
13,1000,180679,180.679,-14.0,0,0,0.0
14,1000,180684,180.684,-15.5,0,0,0.0
15,1000,179466,179.466,-15.0,0,0,0.0
16,1000,183719,183.719,-17.5,0,0,0.0
17,1000,183358,183.358,-14.5,0,0,0.0
18,1000,184104,184.104,-17.0,0,0,0.0
19,1000,187503,187.503,-23.5,0,0,0.0
20,1000,183019,183.019,-23.0,0,0,0.0
21,1000,182909,182.909,-21.0,0,0,0.0
22,1000,191045,191.045,-19.0,0,0,0.0
23,1000,190728,190.728,-21.5,0,0,0.0
24,1000,192749,192.749,-34.0,0,0,0.0
25,1000,187446,187.446,-32.0,0,0,0.0
26,1000,188011,188.011,-30.0,0,0,0.0
27,1000,185760,185.76,-40.0,0,0,0.0
28,1000,189972,189.972,-43.5,0,0,0.0
29,1000,188124,188.124,-38.5,0,0,0.0
30,1000,187366,187.366,-36.0,0,0,0.0
31,1000,180515,180.515,-37.5,0,0,0.0
32,1000,182707,182.707,-33.0,0,0,0.0
33,1000,183226,183.226,-37.0,0,0,0.0
34,1000,179324,179.324,-39.5,0,0,0.0
35,1000,186568,186.568,-35.0,0,0,0.0
36,1000,190780,190.78,-35.0,0,0,0.0
37,1000,187362,187.362,-36.0,0,0,0.0
38,1000,185689,185.689,-39.5,0,0,0.0
39,1000,192158,192.158,-34.0,0,0,0.0
40,1000,194123,194.123,-37.0,0,0,0.0
41,1000,188447,188.447,-37.0,0,0,0.0
42,1000,186319,186.319,-33.0,0,0,0.0
43,1000,190254,190.254,-36.0,0,0,0.0
44,1000,187557,187.557,-38.0,0,0,0.0
45,1000,187646,187.646,-33.0,0,0,0.0
46,1000,191554,191.554,-30.5,0,0,0.0
47,1000,185399,185.399,-36.0,0,0,0.0
48,1000,186000,186.0,-36.0,0,0,0.0
49,1000,183669,183.669,-33.0,0,0,0.0
50,1000,185669,185.669,-38.0,0,0,0.0
