round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,80,12845,160.5625,4.0,1,1,0.0125
1,80,13039,162.9875,3.0,1,1,0.0125
2,80,12902,161.275,2.5,3,0,0.0375
3,80,13003,162.5375,3.5,2,0,0.025
4,80,13415,167.6875,3.5,2,0,0.025
5,80,12969,162.1125,3.0,1,1,0.0125
6,80,12757,159.4625,4.0,0,0,0.0
7,80,12557,156.9625,4.5,0,1,0.0
8,80,12927,161.5875,3.5,0,1,0.0
9,80,12252,153.15,3.0,1,0,0.0125
10,80,11822,147.775,3.5,7,1,0.0875
11,80,11972,149.65,5.0,8,0,0.1
12,80,13913,173.9125,4.0,9,0,0.1125
13,80,15299,191.2375,3.5,3,0,0.0375
14,80,15520,194.0,3.5,2,0,0.025
15,80,17215,215.1875,4.0,1,0,0.0125
16,80,16529,206.6125,3.5,2,0,0.025
17,80,13695,171.1875,21.0,13,0,0.1625
18,80,6028,75.35,47.0,49,0,0.6125
