round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,305,49411,162.0032786885246,-7.0,0,0,0.0
1,283,46423,164.03886925795052,-6.5,0,0,0.0
2,311,47629,153.14790996784566,-6.5,0,0,0.0
3,326,48128,147.6319018404908,-7.0,0,0,0.0
4,334,48337,144.72155688622755,-7.5,0,0,0.0
5,316,48691,154.08544303797467,-6.5,0,0,0.0
6,298,45991,154.33221476510067,-5.0,0,0,0.0
7,320,46471,145.221875,-5.0,0,0,0.0
8,345,47462,137.57101449275362,-6.0,0,0,0.0
9,334,46016,137.77245508982037,-4.5,0,0,0.0
10,305,45014,147.58688524590164,-4.0,0,0,0.0
11,321,45268,141.02180685358255,-5.5,0,0,0.0
12,339,46424,136.9439528023599,-5.0,0,0,0.0
13,308,43424,140.98701298701297,-3.5,0,0,0.0
14,238,31766,133.47058823529412,-3.5,0,0,0.0
15,161,21317,132.40372670807454,-1.0,0,0,0.0
16,238,28379,119.23949579831933,-5.5,0,0,0.0
17,205,26749,130.48292682926828,-11.0,0,0,0.0
