round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
57,80,17248,215.6,3.0,0,10,0.0
58,80,14935,186.6875,2.5,0,12,0.0
59,80,13713,171.4125,4.0,1,15,0.0125
60,80,14801,185.0125,3.5,0,11,0.0
61,80,14156,176.95,4.0,0,16,0.0
62,80,12523,156.5375,3.0,0,18,0.0
63,80,13477,168.4625,4.5,0,15,0.0
64,80,14879,185.9875,3.5,0,11,0.0
65,80,12926,161.575,4.5,0,19,0.0
66,80,15830,197.875,4.5,0,17,0.0
67,80,14710,183.875,3.5,1,15,0.0125
68,80,14332,179.15,3.5,0,17,0.0
69,80,15463,193.2875,4.0,0,11,0.0
70,80,12672,158.4,3.5,1,12,0.0125
71,80,14574,182.175,3.0,0,10,0.0
72,80,17361,217.0125,4.0,0,12,0.0
73,80,13616,170.2,3.5,0,17,0.0
74,80,13488,168.6,4.0,0,11,0.0
75,80,11820,147.75,3.0,0,17,0.0
76,80,14214,177.675,3.5,0,17,0.0
77,80,9508,118.85,4.0,0,21,0.0
78,80,13983,174.7875,3.0,0,14,0.0
79,80,10980,137.25,5.5,0,25,0.0
80,80,13733,171.6625,4.0,0,16,0.0
81,80,12930,161.625,5.0,0,11,0.0
82,80,11193,139.9125,4.5,0,22,0.0
83,80,13132,164.15,3.0,0,15,0.0
84,80,13636,170.45,3.5,0,18,0.0
85,80,10663,133.2875,4.0,0,15,0.0
86,80,8412,105.15,3.5,0,16,0.0
87,80,8474,105.925,6.0,0,20,0.0
88,80,9880,123.5,4.0,0,21,0.0
89,80,10225,127.8125,4.5,0,21,0.0
90,80,11872,148.4,4.0,0,20,0.0
91,80,10866,135.825,4.5,0,13,0.0
92,80,10926,136.575,4.0,0,15,0.0
93,80,9943,124.2875,4.0,2,15,0.025
94,80,10178,127.225,3.5,0,25,0.0
95,80,12210,152.625,4.0,0,13,0.0
96,80,10396,129.95,4.0,0,15,0.0
97,80,13443,168.0375,4.0,0,20,0.0
98,80,16397,204.9625,3.5,0,14,0.0
99,80,15316,191.45,4.5,0,9,0.0
100,80,15769,197.1125,4.5,0,18,0.0
101,80,13700,171.25,3.5,0,13,0.0
102,80,13062,163.275,2.5,0,18,0.0
103,80,13690,171.125,3.5,0,16,0.0
104,80,18736,234.2,4.0,0,13,0.0
105,80,18131,226.6375,3.0,0,8,0.0
106,80,17927,224.0875,4.5,0,6,0.0
107,80,17817,222.7125,4.0,0,10,0.0
108,80,16728,209.1,3.0,0,10,0.0
109,80,18810,235.125,4.0,0,9,0.0
110,80,18159,226.9875,3.5,0,10,0.0
111,80,17493,218.6625,3.5,0,6,0.0
112,80,17010,212.625,4.5,0,12,0.0
113,80,17679,220.9875,5.0,0,5,0.0
114,80,15695,196.1875,5.0,0,11,0.0
115,80,16331,204.1375,4.0,0,20,0.0
116,80,19065,238.3125,4.0,0,8,0.0
117,80,18472,230.9,3.0,0,6,0.0
118,80,16670,208.375,5.0,0,10,0.0
119,80,19624,245.3,3.0,0,3,0.0
120,80,19253,240.6625,4.5,0,10,0.0
121,80,18477,230.9625,3.5,0,7,0.0
122,80,17625,220.3125,3.0,0,9,0.0
123,80,16862,210.775,3.5,0,13,0.0
124,80,16409,205.1125,4.0,0,18,0.0
125,80,5112,63.9,5.0,0,60,0.0
126,80,9829,122.8625,8.0,0,43,0.0
127,80,5321,66.5125,5.5,0,60,0.0
128,80,8239,102.9875,4.5,0,38,0.0
129,80,2811,35.1375,9.0,0,69,0.0
130,80,10575,132.1875,6.0,0,40,0.0
