round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,80,20444,255.55,4.0,0,17,0.0
1,80,19747,246.8375,3.5,0,7,0.0
2,80,17959,224.4875,3.5,1,11,0.0125
3,80,18921,236.5125,4.0,0,17,0.0
4,80,18284,228.55,3.5,0,17,0.0
5,80,20625,257.8125,4.0,1,9,0.0125
6,80,20503,256.2875,5.5,1,15,0.0125
7,80,20471,255.8875,4.0,1,10,0.0125
8,80,18496,231.2,6.0,0,12,0.0
9,80,16250,203.125,3.0,0,18,0.0
10,80,18999,237.4875,4.0,0,12,0.0
11,80,18455,230.6875,4.5,0,16,0.0
12,80,16801,210.0125,4.0,0,12,0.0
13,80,16184,202.3,3.5,1,15,0.0125
14,80,18852,235.65,4.0,0,14,0.0
15,80,16845,210.5625,3.0,0,12,0.0
16,80,15507,193.8375,4.0,0,13,0.0
17,80,16850,210.625,4.0,0,16,0.0
18,80,17102,213.775,5.0,0,11,0.0
19,80,17599,219.9875,4.0,0,13,0.0
20,80,17659,220.7375,5.0,0,15,0.0
21,80,15475,193.4375,3.0,0,16,0.0
22,80,15844,198.05,5.0,0,16,0.0
23,80,15798,197.475,3.5,0,11,0.0
24,80,17982,224.775,4.5,0,13,0.0
25,80,15884,198.55,3.0,1,11,0.0125
26,80,16875,210.9375,3.5,0,12,0.0
27,80,14021,175.2625,3.5,0,16,0.0
28,80,17786,222.325,4.0,0,18,0.0
29,80,14426,180.325,3.5,0,16,0.0
30,80,17329,216.6125,4.0,0,13,0.0
31,80,15675,195.9375,3.5,0,13,0.0
32,80,15110,188.875,4.0,0,12,0.0
33,80,18099,226.2375,4.0,0,11,0.0
34,80,17850,223.125,3.5,0,16,0.0
35,80,16827,210.3375,4.0,1,8,0.0125
36,80,15395,192.4375,4.5,1,13,0.0125
37,80,17643,220.5375,3.5,0,13,0.0
38,80,17026,212.825,4.5,0,14,0.0
39,80,16586,207.325,5.0,0,14,0.0
40,80,17245,215.5625,3.5,1,14,0.0125
41,80,15549,194.3625,4.0,0,12,0.0
42,80,15587,194.8375,3.5,0,18,0.0
43,80,17021,212.7625,3.0,1,12,0.0125
44,80,15565,194.5625,3.5,1,9,0.0125
45,80,15882,198.525,3.5,1,16,0.0125
46,80,14652,183.15,4.0,0,17,0.0
47,80,14088,176.1,4.5,1,10,0.0125
48,80,13160,164.5,2.5,0,23,0.0
49,80,15500,193.75,22.0,0,18,0.0
50,80,16544,206.8,3.5,0,12,0.0
51,80,14687,183.5875,3.5,1,17,0.0125
52,80,13867,173.3375,3.5,1,19,0.0125
53,80,15988,199.85,3.5,0,13,0.0
54,80,16788,209.85,3.0,0,19,0.0
55,80,18375,229.6875,4.0,0,11,0.0
56,80,13200,165.0,4.0,0,14,0.0
