round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,159,58472,367.748427672956,7.0,0,0,0.0
1,170,57467,338.04117647058825,10.0,0,0,0.0
2,163,56860,348.83435582822085,6.5,0,0,0.0
3,160,55991,349.94375,6.5,0,0,0.0
4,157,55976,356.5350318471338,6.0,0,0,0.0
5,160,56740,354.625,5.5,0,0,0.0
6,165,56393,341.77575757575755,7.0,0,0,0.0
7,169,57426,339.79881656804736,24.0,0,0,0.0
8,121,44905,371.11570247933884,3.5,0,0,0.0
9,162,52524,324.22222222222223,8.0,0,0,0.0
10,68,20703,304.45588235294116,3.5,0,0,0.0
11,96,34490,359.2708333333333,4.0,0,0,0.0
12,106,35767,337.42452830188677,5.5,0,0,0.0
13,143,50140,350.6293706293706,7.5,0,0,0.0
14,178,62174,349.29213483146066,9.5,0,0,0.0
