round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,1000,161289,161.289,30.5,0,0,0.0
1,1000,160093,160.093,28.0,0,0,0.0
2,1000,143182,143.182,30.5,0,0,0.0
3,1000,139052,139.052,542.0,0,0,0.0
4,1000,141271,141.271,24.5,0,0,0.0
5,1000,135954,135.954,44.5,0,0,0.0
6,1000,149128,149.128,21.0,0,0,0.0
7,1000,143244,143.244,23.0,0,0,0.0
8,1000,144345,144.345,20.0,0,0,0.0
9,1000,133384,133.384,46.5,0,0,0.0
10,1000,153649,153.649,38.5,0,0,0.0
11,1000,156433,156.433,38.5,0,0,0.0
12,1000,165741,165.741,48.5,0,0,0.0
13,1000,164360,164.36,36.0,0,0,0.0
14,1000,168481,168.481,65.0,0,0,0.0
15,1000,175227,175.227,509.0,0,0,0.0
16,1000,172542,172.542,29.0,0,0,0.0
17,1000,185542,185.542,53.0,0,0,0.0
18,1000,184712,184.712,49.5,0,0,0.0
19,1000,183337,183.337,52.5,0,0,0.0
20,1000,186248,186.248,46.0,0,0,0.0
21,1000,186460,186.46,41.0,0,0,0.0
22,1000,191748,191.748,46.5,0,0,0.0
23,1000,183561,183.561,44.0,0,0,0.0
24,1000,181465,181.465,42.5,0,0,0.0
25,1000,183387,183.387,42.0,0,0,0.0
26,1000,180892,180.892,38.0,0,0,0.0
27,1000,180672,180.672,40.0,0,0,0.0
28,1000,179789,179.789,43.0,0,0,0.0
29,1000,190693,190.693,37.0,0,0,0.0
30,1000,202104,202.104,47.5,0,0,0.0
31,1000,199436,199.436,42.0,0,0,0.0
32,1000,201652,201.652,48.5,0,0,0.0
33,1000,199254,199.254,41.0,0,0,0.0
34,1000,199702,199.702,41.0,0,0,0.0
35,1000,202820,202.82,51.5,0,0,0.0
36,1000,197678,197.678,46.5,0,0,0.0
37,1000,203871,203.871,48.0,0,0,0.0
38,1000,199252,199.252,37.0,0,0,0.0
39,1000,201404,201.404,31.5,0,0,0.0
40,1000,197217,197.217,34.0,0,0,0.0
41,1000,205801,205.801,91.0,0,0,0.0
42,1000,199039,199.039,112.5,0,0,0.0
43,1000,189358,189.358,179.0,0,0,0.0
44,1000,203480,203.48,95.0,0,0,0.0
45,1000,178429,178.429,186.0,0,0,0.0
46,1000,197587,197.587,107.5,0,0,0.0
47,1000,200055,200.055,91.0,0,0,0.0
48,1000,204216,204.216,69.5,0,0,0.0
49,1000,196752,196.752,96.0,0,0,0.0
50,1000,203513,203.513,66.5,0,0,0.0
51,1000,202020,202.02,145.5,0,0,0.0
52,1000,201471,201.471,95.5,0,0,0.0
53,1000,199017,199.017,93.0,0,0,0.0
54,1000,195157,195.157,100.0,0,0,0.0
55,1000,204047,204.047,90.0,0,0,0.0
