round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,80,19070,238.375,6.5,0,18,0.0
1,80,20855,260.6875,5.5,0,15,0.0
2,80,18929,236.6125,6.0,1,14,0.0125
3,80,22456,280.7,3.5,0,17,0.0
4,80,21481,268.5125,18.0,0,20,0.0
5,80,21456,268.2,4.5,0,19,0.0
6,80,19663,245.7875,4.0,0,18,0.0
7,80,20771,259.6375,4.0,0,18,0.0
8,80,21568,269.6,4.0,0,12,0.0
9,80,24807,310.0875,3.5,0,12,0.0
10,80,22683,283.5375,3.5,0,10,0.0
11,80,20426,255.325,4.5,0,8,0.0
12,80,20648,258.1,3.5,0,9,0.0
13,80,22571,282.1375,4.0,0,3,0.0
14,80,18989,237.3625,3.0,0,4,0.0
15,80,17403,217.5375,3.5,0,6,0.0
16,80,18044,225.55,3.5,1,2,0.0125
17,80,15861,198.2625,20.5,0,2,0.0
18,80,13131,164.1375,3.5,0,1,0.0
19,80,11770,147.125,8.0,0,0,0.0
20,80,11476,143.45,3.0,0,1,0.0
21,80,12602,157.525,4.5,0,1,0.0
22,80,11501,143.7625,3.0,0,2,0.0
23,80,13559,169.4875,10.0,4,0,0.05
24,80,14216,177.7,14.5,1,0,0.0125
25,80,12997,162.4625,12.0,3,0,0.0375
26,80,14104,176.3,13.0,4,0,0.05
27,80,12629,157.8625,5.5,1,1,0.0125
28,80,13355,166.9375,7.0,0,0,0.0
29,80,14048,175.6,5.5,1,1,0.0125
30,80,13831,172.8875,7.0,1,0,0.0125
31,80,13955,174.4375,5.0,1,0,0.0125
32,80,12909,161.3625,5.5,0,1,0.0
33,80,13811,172.6375,5.0,1,0,0.0125
34,80,14314,178.925,5.5,2,0,0.025
35,80,12674,158.425,6.0,1,1,0.0125
36,80,12532,156.65,9.0,2,0,0.025
37,80,12901,161.2625,8.0,0,0,0.0
38,80,11836,147.95,11.5,1,1,0.0125
39,80,12956,161.95,5.5,3,0,0.0375
40,80,14136,176.7,8.5,1,0,0.0125
41,80,12034,150.425,10.0,0,0,0.0
42,80,12489,156.1125,8.5,1,0,0.0125
43,80,12627,157.8375,10.5,1,0,0.0125
