round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,80,22955,286.9375,-1.5,0,11,0.0
1,80,20016,250.2,0,0,11,0.0
2,80,21273,265.9125,0,0,14,0.0
3,80,21423,267.7875,-2.0,0,14,0.0
4,80,23243,290.5375,-1.5,0,9,0.0
5,80,22654,283.175,0,0,7,0.0
6,80,20569,257.1125,-1.5,0,12,0.0
7,80,21500,268.75,-44.0,0,8,0.0
8,80,22321,279.0125,-1.5,0,13,0.0
9,80,19368,242.1,-2.5,0,13,0.0
10,80,24059,300.7375,-7.5,0,10,0.0
11,80,20568,257.1,-14.5,0,10,0.0
12,80,18565,232.0625,-2.0,0,12,0.0
13,80,17584,219.8,-3.5,0,11,0.0
14,80,15722,196.525,-8.0,0,12,0.0
15,80,16803,210.0375,-7.0,0,9,0.0
16,80,17862,223.275,-5.5,0,16,0.0
17,80,13873,173.4125,-7.5,0,12,0.0
18,80,13512,168.9,-14.0,0,10,0.0
19,80,18010,225.125,-15.5,0,12,0.0
20,80,14751,184.3875,-15.5,0,19,0.0
21,80,15880,198.5,-15.5,0,15,0.0
22,80,13135,164.1875,-11.5,0,17,0.0
23,80,16210,202.625,-14.5,0,11,0.0
24,80,16384,204.8,-11.0,0,13,0.0
25,80,16974,212.175,-13.5,0,11,0.0
26,80,12929,161.6125,-8.5,0,13,0.0
27,80,13046,163.075,-14.5,0,17,0.0
28,80,13391,167.3875,-8.5,0,13,0.0
29,80,18109,226.3625,-14.5,0,13,0.0
30,80,15849,198.1125,-6.0,0,8,0.0
31,80,13684,171.05,-9.0,0,20,0.0
32,80,12235,152.9375,-12.0,0,20,0.0
33,80,14016,175.2,-9.0,0,12,0.0
34,80,14069,175.8625,-9.5,0,16,0.0
