round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,155,25497,164.4967741935484,6.0,0,0,0.0
1,133,21241,159.70676691729324,4.5,0,0,0.0
2,137,22685,165.5839416058394,4.5,0,0,0.0
3,128,21541,168.2890625,3.5,0,0,0.0
4,136,22693,166.86029411764707,3.5,0,0,0.0
5,137,22951,167.52554744525548,4.0,0,0,0.0
6,165,24949,151.20606060606062,4.0,0,0,0.0
7,137,22634,165.21167883211677,4.0,0,0,0.0
8,164,25668,156.5121951219512,5.0,0,0,0.0
9,173,25786,149.0520231213873,88.5,0,0,0.0
10,175,25705,146.88571428571427,5.5,0,0,0.0
11,158,26439,167.33544303797467,43.5,0,0,0.0
12,163,24226,148.62576687116564,13.0,0,0,0.0
