round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,155,57617,371.7225806451613,5.5,12,12,0.07741935483870968
1,177,64707,365.5762711864407,5.5,5,14,0.02824858757062147
2,163,60670,372.2085889570552,5.5,8,14,0.049079754601226995
3,171,61901,361.99415204678365,6.0,12,9,0.07017543859649122
4,180,63715,353.97222222222223,7.0,13,17,0.07222222222222222
5,180,63034,350.18888888888887,5.5,15,8,0.08333333333333333
6,184,64297,349.4402173913044,6.0,13,16,0.07065217391304347
7,188,63770,339.20212765957444,4.5,19,8,0.10106382978723404
8,194,65375,336.9845360824742,3.5,18,6,0.09278350515463918
9,187,64321,343.96256684491976,4.0,22,6,0.11764705882352941
10,216,64546,298.8240740740741,7.0,31,15,0.14351851851851852
11,199,64886,326.0603015075377,6.0,25,6,0.12562814070351758
12,207,66050,319.0821256038647,4.5,26,5,0.12560386473429952
13,215,65854,306.29767441860463,8.0,35,2,0.16279069767441862
14,202,65388,323.7029702970297,5.5,24,3,0.1188118811881188
15,237,66294,279.72151898734177,11.0,55,2,0.2320675105485232
16,229,66176,288.9781659388646,11.0,53,2,0.2314410480349345
17,228,66627,292.2236842105263,17.5,45,1,0.19736842105263158
18,274,66176,241.5182481751825,47.5,89,3,0.3248175182481752
19,261,66727,255.65900383141764,77.0,73,5,0.2796934865900383
20,269,66710,247.99256505576207,23.5,76,3,0.2825278810408922
21,274,65573,239.3175182481752,15.0,80,2,0.291970802919708
22,245,66731,272.37142857142857,22.0,56,0,0.22857142857142856
23,261,66812,255.98467432950193,12.5,56,2,0.21455938697318008
24,241,66679,276.67634854771785,9.0,43,5,0.17842323651452283
25,240,66723,278.0125,10.5,37,3,0.15416666666666667
26,241,66721,276.850622406639,11.0,34,1,0.14107883817427386
27,213,60191,282.5868544600939,7.5,35,0,0.1643192488262911
28,238,64275,270.06302521008405,10.0,38,1,0.15966386554621848
29,214,61351,286.6869158878505,7.0,31,2,0.14485981308411214
30,232,65261,281.29741379310343,8.0,38,1,0.16379310344827586
31,260,65512,251.96923076923076,15.0,55,0,0.21153846153846154
32,305,64655,211.98360655737704,32.0,79,1,0.25901639344262295
33,349,64965,186.14613180515758,42.0,108,0,0.30945558739255014
34,360,64770,179.91666666666666,84.5,108,0,0.3
35,353,63145,178.88101983002832,49.0,106,0,0.3002832861189802
36,361,62541,173.2437673130194,46.0,107,0,0.296398891966759
37,379,65340,172.401055408971,60.0,113,0,0.29815303430079154
38,351,64016,182.38176638176637,108.5,65,0,0.18518518518518517
39,329,63599,193.31003039513678,36.5,51,0,0.15501519756838905
40,333,63960,192.07207207207207,27.0,54,0,0.16216216216216217
41,353,64050,181.44475920679886,41.0,60,0,0.16997167138810199
42,362,64035,176.89226519337018,34.5,60,0,0.16574585635359115
43,366,64268,175.59562841530055,33.0,77,0,0.2103825136612022
44,341,62937,184.56598240469208,38.0,54,0,0.15835777126099707
45,352,63783,181.20170454545453,48.0,53,0,0.15056818181818182
46,343,63152,184.11661807580174,60.5,53,0,0.15451895043731778
47,251,47060,187.49003984063745,35.5,47,0,0.18725099601593626
48,311,55598,178.77170418006432,28.5,60,0,0.19292604501607716
49,237,45135,190.44303797468353,34.5,44,0,0.18565400843881857
50,306,53158,173.718954248366,28.0,47,0,0.15359477124183007
51,333,59820,179.63963963963963,78.5,61,0,0.1831831831831832
52,318,61327,192.85220125786162,53.5,56,0,0.1761006289308176
53,338,60576,179.2189349112426,31.0,52,0,0.15384615384615385
54,341,58964,172.9149560117302,33.0,48,0,0.14076246334310852
55,316,58371,184.71835443037975,44.5,52,0,0.16455696202531644
56,337,57759,171.39169139465875,55.0,49,0,0.14540059347181009
57,345,61571,178.46666666666667,43.5,58,0,0.1681159420289855
58,351,61703,175.7920227920228,46.5,67,0,0.1908831908831909
59,292,57517,196.97602739726028,35.5,41,0,0.1404109589041096
60,355,62146,175.05915492957746,53.5,55,0,0.15492957746478872
61,334,61289,183.5,38.5,49,0,0.1467065868263473
62,374,60001,160.43048128342247,51.0,44,0,0.11764705882352941
63,333,60665,182.17717717717719,59.0,62,0,0.18618618618618618
64,359,60574,168.72980501392757,36.0,66,0,0.18384401114206128
65,381,60917,159.88713910761155,48.5,60,0,0.15748031496062992
