round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,1000,154317,154.317,26.5,0,0,0.0
1,1000,154674,154.674,27.5,0,0,0.0
2,1000,149867,149.867,23.5,0,0,0.0
3,1000,150547,150.547,22.5,0,0,0.0
4,1000,153370,153.37,22.5,0,0,0.0
5,1000,157806,157.806,24.0,0,0,0.0
6,1000,154372,154.372,16.0,0,0,0.0
7,1000,142535,142.535,102.0,0,0,0.0
8,1000,142471,142.471,17.5,0,0,0.0
9,1000,137338,137.338,22.0,0,0,0.0
10,1000,106097,106.097,26,0,0,0.0
11,1000,143282,143.282,24.0,0,0,0.0
12,1000,137451,137.451,23.5,0,0,0.0
13,1000,144513,144.513,26.5,0,0,0.0
14,1000,137349,137.349,25.0,0,0,0.0
15,1000,136199,136.199,25.0,0,0,0.0
16,1000,139498,139.498,25.5,0,0,0.0
17,1000,131055,131.055,21.5,0,0,0.0
18,1000,132183,132.183,21.0,0,0,0.0
19,1000,130886,130.886,20.5,0,0,0.0
20,1000,125629,125.629,24.5,0,0,0.0
21,1000,122627,122.627,25.5,0,0,0.0
22,1000,102825,102.825,23.5,0,0,0.0
23,1000,93706,93.706,31.0,0,0,0.0
24,1000,86333,86.333,27.0,0,0,0.0
25,1000,93364,93.364,27.0,0,0,0.0
26,1000,86020,86.02,30.5,0,0,0.0
27,1000,109201,109.201,33.0,0,0,0.0
28,1000,106407,106.407,31.5,0,0,0.0
29,1000,112044,112.044,32.0,0,0,0.0
30,1000,105144,105.144,32.0,0,0,0.0
31,1000,103028,103.028,31.0,0,0,0.0
32,1000,104714,104.714,33.0,0,0,0.0
33,1000,104375,104.375,31.0,0,0,0.0
34,1000,103164,103.164,30.5,0,0,0.0
35,1000,101941,101.941,23.5,0,0,0.0
36,1000,92780,92.78,26.5,0,0,0.0
37,1000,92582,92.582,26.0,0,0,0.0
38,1000,84914,84.914,27.0,0,0,0.0
39,1000,111486,111.486,20.0,0,0,0.0
40,1000,115162,115.162,20.0,0,0,0.0
41,1000,118176,118.176,444.5,0,0,0.0
42,1000,114305,114.305,19.5,0,0,0.0
43,1000,118284,118.284,22.5,0,0,0.0
44,1000,117713,117.713,17.0,0,0,0.0
45,1000,122292,122.292,16.5,0,0,0.0
46,1000,122367,122.367,15.0,0,0,0.0
