round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,218,35671,163.62844036697248,7.0,0,0,0.0
1,226,37375,165.37610619469027,8.0,0,0,0.0
2,231,37899,164.06493506493507,7.0,0,0,0.0
3,252,43496,172.6031746031746,6.5,0,0,0.0
4,228,41438,181.74561403508773,8.0,0,0,0.0
5,197,35994,182.71065989847716,7.0,0,0,0.0
6,216,39105,181.04166666666666,8.5,0,0,0.0
7,218,40070,183.80733944954127,8.0,0,0,0.0
8,190,35710,187.94736842105263,6.5,0,0,0.0
9,147,30403,206.8231292517007,5.5,0,0,0.0
10,70,13585,194.07142857142858,1.5,0,0,0.0
11,82,16431,200.3780487804878,2.0,0,0,0.0
12,48,9755,203.22916666666666,1.5,0,0,0.0
13,95,18489,194.62105263157895,2.5,0,0,0.0
