round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,80,12662,158.275,-1.0,2,0,0.025
1,80,11493,143.6625,0.5,1,1,0.0125
2,80,12289,153.6125,0,2,2,0.025
3,80,10824,135.3,-0.5,7,2,0.0875
4,80,12424,155.3,0,1,2,0.0125
5,80,11980,149.75,0,1,0,0.0125
6,80,11697,146.2125,0,0,3,0.0
7,80,11235,140.4375,0,0,2,0.0
8,80,11629,145.3625,-5.0,0,2,0.0
9,80,11557,144.4625,1.0,6,1,0.075
10,80,11542,144.275,0,2,0,0.025
11,80,12685,158.5625,0.5,6,2,0.075
12,80,12281,153.5125,0.0,5,1,0.0625
13,80,12566,157.075,1.0,3,0,0.0375
14,80,13765,172.0625,0.0,4,0,0.05
15,80,11077,138.4625,-1.0,4,0,0.05
16,80,13104,163.8,-0.5,5,0,0.0625
17,80,13644,170.55,1.5,10,0,0.125
18,80,14105,176.3125,-1.0,6,0,0.075
19,80,14533,181.6625,-1.0,7,0,0.0875
20,80,11908,148.85,-1.5,9,0,0.1125
21,80,15217,190.2125,-3.0,7,0,0.0875
22,80,15278,190.975,-3.5,8,0,0.1
23,80,12186,152.325,-1.0,12,0,0.15
24,80,14184,177.3,-3.5,7,0,0.0875
25,80,13263,165.7875,-2.5,11,0,0.1375
26,80,12223,152.7875,-3.0,16,0,0.2
27,80,13218,165.225,-6.0,2,0,0.025
28,80,15041,188.0125,-4.0,8,0,0.1
29,80,13309,166.3625,-4.0,9,0,0.1125
30,80,14171,177.1375,-1.5,11,0,0.1375
31,80,12619,157.7375,-3.0,12,0,0.15
32,80,13391,167.3875,-2.5,13,0,0.1625
33,80,12850,160.625,1.0,8,0,0.1
34,80,11367,142.0875,1.5,9,0,0.1125
35,80,12463,155.7875,3.0,12,0,0.15
