round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,309,50516,163.4822006472492,-7.5,0,0,0.0
1,322,48110,149.40993788819875,-7.0,0,0,0.0
2,316,48418,153.22151898734177,-7.5,0,0,0.0
3,329,49523,150.5258358662614,-6.0,0,0,0.0
4,344,48211,140.14825581395348,-5.5,0,0,0.0
5,323,48541,150.28173374613004,-8.0,0,0,0.0
6,343,49264,143.6268221574344,-7.0,0,0,0.0
7,331,49070,148.24773413897282,-7.5,0,0,0.0
8,309,48589,157.24595469255664,-6.0,0,0,0.0
9,291,46829,160.92439862542955,-5.5,0,0,0.0
10,251,44566,177.55378486055776,-88.0,0,0,0.0
11,248,44154,178.04032258064515,-5.0,0,0,0.0
12,236,44275,187.60593220338984,-7.5,0,0,0.0
13,198,37235,188.05555555555554,-5.5,0,0,0.0
14,99,18221,184.05050505050505,-8.0,0,0,0.0
15,100,20354,203.54,-4.5,0,0,0.0
16,130,26238,201.83076923076922,-6.5,0,0,0.0
17,130,23745,182.65384615384616,-6.5,0,0,0.0
18,141,26336,186.78014184397162,-8.5,0,0,0.0
19,105,18973,180.6952380952381,-6.0,0,0,0.0
20,126,23732,188.34920634920636,-5.5,0,0,0.0
21,125,23983,191.864,-7.5,0,0,0.0
22,126,22813,181.05555555555554,-5.5,0,0,0.0
23,149,25032,168.0,-8.5,0,0,0.0
24,138,23808,172.52173913043478,-8.0,0,0,0.0
25,138,22877,165.7753623188406,-10.0,0,0,0.0
26,127,23550,185.43307086614172,-10.5,0,0,0.0
27,133,24888,187.12781954887217,-10.5,0,0,0.0
28,121,23922,197.70247933884298,-8.5,0,0,0.0
